Data,Czas,Fixing 1 - Kurs (PLN/MWh},Fixing 1- Wolumen [MWh],Fixing 2 - Kurs (PLN/MWh},Fixing 2- Wolumen [MWh],NC - Kurs (PLN/MWh},NC- Wolumen [MWh]
01-11-2023,0-1,"216,22","3340,1","290,15","2571,5","216,22",5
01-11-2023,1-2,"200,00","3430,3","278,68","2468,5","200,00",5
01-11-2023,2-3,"182,00","3360,2","257,36","2165,1","182,00",5
01-11-2023,3-4,"200,00","3140,3","260,31","2050,6","200,00",5
01-11-2023,4-5,"180,00","2846,4","252,01","2217,4",-,0
01-11-2023,5-6,"220,00","2501,4","283,31","1604,1",-,0
01-11-2023,6-7,"320,00","2155,3","327,04",1323,"335,00",10
01-11-2023,7-8,"357,28","2071,3","372,00","1367,6","367,67",30
01-11-2023,8-9,"339,89","1769,7","384,04","1327,6","384,00",5
01-11-2023,9-10,"281,22","1849,3","307,84","1514,3",-,0
01-11-2023,10-11,"240,01","2186,1","258,67","1343,2",-,0
01-11-2023,11-12,"200,00","2251,2","226,25","1224,5","210,00",5
01-11-2023,12-13,"210,00","2041,9","211,83","1007,2","215,00",5
01-11-2023,13-14,"256,22","1952,6","227,58","719,6",-,0
01-11-2023,14-15,"380,00","1826,4","366,37","677,6","387,00",50
01-11-2023,15-16,"402,91","2421,9","381,02","713,2",-,0
01-11-2023,16-17,"419,00","3110,3","394,58","613,4","417,67",30
01-11-2023,17-18,"425,00",3320,"358,80","729,5","435,00",10
01-11-2023,18-19,"425,00","3303,2","353,77","894,2",-,0
01-11-2023,19-20,"419,88","3083,8","343,06","705,3",-,0
01-11-2023,20-21,"407,94","2784,2","236,35","921,4",-,0
01-11-2023,21-22,"400,88","2465,3","279,44",775,-,0
01-11-2023,22-23,"250,00","2024,3","169,84","765,9",-,0
01-11-2023,23-24,"200,00","2475,5","125,65","912,5",-,0
02-11-2023,0-1,"200,00","2426,7","219,53","704,4",-,0
02-11-2023,1-2,"150,00",2622,"164,70","704,3","160,00",5
02-11-2023,2-3,"150,00","2690,7","139,66","742,8","160,00",5
02-11-2023,3-4,"150,00","2710,9","144,68","651,5","160,00",5
02-11-2023,4-5,"150,00","2687,8","164,69","666,3","160,00",5
02-11-2023,5-6,"200,00","2448,1","219,57","656,2","210,00",5
02-11-2023,6-7,"400,35","3022,4","401,20","623,3","410,00",10
02-11-2023,7-8,"400,35","2387,8","403,58",1354,"410,00",10
02-11-2023,8-9,"400,35","3019,2","379,17","832,4",-,0
02-11-2023,9-10,"330,00","3018,9","318,01","763,9",-,0
02-11-2023,10-11,"200,00","3257,3","255,60","1169,7",-,0
02-11-2023,11-12,"180,00","3507,5","262,83","1298,7","191,00","0,2"
02-11-2023,12-13,"150,00","3649,2","254,11","1443,2",-,0
02-11-2023,13-14,"180,00","3329,9","250,22","1267,9",-,0
02-11-2023,14-15,"370,00","2934,7","311,71","680,4",-,0
02-11-2023,15-16,"402,51","3024,5","404,17",1274,"405,00",20
02-11-2023,16-17,"420,18","3633,5","401,24","724,6","420,18",20
02-11-2023,17-18,"425,18","3728,6","402,88",1048,"411,73",60
02-11-2023,18-19,"406,51","3616,1","404,91","1495,3","408,90",100
02-11-2023,19-20,"396,32",3228,"402,49","1215,1","402,64",90
02-11-2023,20-21,"340,00","3117,7","376,39","625,1","340,00",40
02-11-2023,21-22,"300,00","3146,4","329,31","1021,4","300,00",40
02-11-2023,22-23,"279,00","2941,9","320,73",658,"275,00",60
02-11-2023,23-24,"213,60","3263,5","253,15","1103,7","206,67",60
03-11-2023,0-1,"174,00","3308,3","214,97","546,6","184,00",31
03-11-2023,1-2,"199,00",3421,"217,82",438,"210,00",31
03-11-2023,2-3,"175,00","3599,4","215,43",457,"185,00",31
03-11-2023,3-4,"175,00",3546,"215,00","517,3","185,00",31
03-11-2023,4-5,"200,00","3519,2","220,27","468,1","210,00",31
03-11-2023,5-6,"200,00","3417,8","220,25","481,1","210,00",31
03-11-2023,6-7,"400,00","3683,2","396,58","532,8","366,45",31
03-11-2023,7-8,"379,60","3442,5","396,60","711,3",-,0
03-11-2023,8-9,"406,86","3709,7","414,17","1539,7",-,0
03-11-2023,9-10,"404,58","3577,8","400,01","1001,2",-,0
03-11-2023,10-11,"395,00","3287,3","390,41","1065,2",-,0
03-11-2023,11-12,"401,11","3623,3","396,79","1388,6",-,0
03-11-2023,12-13,"402,86","3711,4","397,60","1432,4",-,0
03-11-2023,13-14,"406,36","4024,6","400,46","1298,5",-,0
03-11-2023,14-15,"420,00","4138,2","442,56","817,3",-,0
03-11-2023,15-16,"470,00","4405,3","459,48","1040,4",-,0
03-11-2023,16-17,"492,30","4525,2","452,75","846,5",-,0
03-11-2023,17-18,"497,00","4604,5","477,50","831,1","497,00",30
03-11-2023,18-19,"485,00","4160,1","456,85","1076,9","485,00",30
03-11-2023,19-20,"467,00","3925,4","450,70",985,"474,46",59
03-11-2023,20-21,"419,03","3284,3","400,39","1017,3","419,86",35
03-11-2023,21-22,"372,00","2608,2","350,38","805,7","382,00",5
03-11-2023,22-23,"401,11","3043,4","396,53","529,9",-,0
03-11-2023,23-24,"300,01","2539,9","365,58","364,9","310,00",15
04-11-2023,0-1,"150,00","2498,1","204,09","936,3","160,00",10
04-11-2023,1-2,"130,10",2797,"160,26","398,8","140,00",10
04-11-2023,2-3,"105,00","3006,4","133,92","432,3","115,00",10
04-11-2023,3-4,"105,00","3047,2","135,37",377,"115,00",10
04-11-2023,4-5,"114,00","2965,4","129,81","426,5","124,00",10
04-11-2023,5-6,"134,00","2920,4","149,61","441,5","144,00",10
04-11-2023,6-7,"175,00","2984,8","133,31","582,2","185,00",10
04-11-2023,7-8,"261,00","2853,4","203,42","546,7","271,00",10
04-11-2023,8-9,"259,00","2820,5","250,26","520,7","269,00","7,1"
04-11-2023,9-10,"241,00","2453,6","240,22","562,9",-,0
04-11-2023,10-11,"200,00","2599,8","127,30","714,7",-,0
04-11-2023,11-12,"180,00","2497,7","120,97","724,9",-,0
04-11-2023,12-13,"199,00","2614,8","145,62",618,-,0
