Data,Czas,Fixing 1 - Kurs (PLN/MWh},Fixing 1- Wolumen [MWh],Fixing 2 - Kurs (PLN/MWh},Fixing 2- Wolumen [MWh],NC - Kurs (PLN/MWh},NC- Wolumen [MWh]
17-11-2023,0-1,"476,52","3345,2","465,45","432,8","465,00",39
17-11-2023,1-2,"450,00","3180,5","439,10","484,5","444,00",20
17-11-2023,2-3,"440,00","2987,2","443,68","543,2","435,00",20
17-11-2023,3-4,"438,11","3121,5","438,97","571,1","435,61",20
17-11-2023,4-5,"450,00","3384,3","425,09","1001,9","444,00",20
17-11-2023,5-6,"475,00","3828,5","453,15","1322,7",-,0
17-11-2023,6-7,"523,00","5474,5","532,03","1478,9","533,00",10
17-11-2023,7-8,"625,00","4264,2","575,36","1867,9","625,00",20
17-11-2023,8-9,"649,22","4675,4","623,18","1211,8",-,0
17-11-2023,9-10,"630,00","4857,1","591,67","1576,3",-,0
17-11-2023,10-11,"594,76","4829,2","562,42","2361,5","594,76",65
17-11-2023,11-12,"589,89","5281,8","550,40","2703,7","589,89",65
17-11-2023,12-13,"573,78","5648,5","533,57","2745,1","573,78",65
17-11-2023,13-14,"590,00","5529,8","561,75",2534,"590,00",65
17-11-2023,14-15,"594,78","5391,5","544,07",2650,"586,84",79
17-11-2023,15-16,"646,00",5285,"570,79","2586,2","580,00","13,7"
17-11-2023,16-17,"669,00","5243,1","601,76","2379,8","669,00",65
17-11-2023,17-18,"675,00","4807,2","642,50",1362,"642,50",5
17-11-2023,18-19,"678,00","4340,2","648,43",951,"650,00",10
17-11-2023,19-20,"664,89","4224,5","610,71",1886,"610,00",10
17-11-2023,20-21,"591,00","4086,9","562,65","1505,6","591,00",65
17-11-2023,21-22,"521,00","3775,9","526,56","945,2","521,00",65
17-11-2023,22-23,"486,34","4466,1","514,28","580,5",-,0
17-11-2023,23-24,"450,00","4250,9","462,58","727,6","450,00",20
