Data,Czas,Fixing 1 - Kurs (PLN/MWh},Fixing 1- Wolumen [MWh],Fixing 2 - Kurs (PLN/MWh},Fixing 2- Wolumen [MWh],NC - Kurs (PLN/MWh},NC- Wolumen [MWh]
20-11-2023,0-1,"251,00","3012,8","300,38","1350,7","261,00",30
20-11-2023,1-2,"250,00","3131,8","275,67","997,8","260,00",30
20-11-2023,2-3,"250,00","3196,1","263,46","863,9","260,00",30
20-11-2023,3-4,"280,00","3037,6","261,32","781,1","275,00",40
20-11-2023,4-5,"310,00","3018,3","325,33","563,7","320,00",10
20-11-2023,5-6,"365,00","2936,3","353,75","643,4","375,00",10
20-11-2023,6-7,"455,00","4239,3","496,08","661,1","465,00",10
20-11-2023,7-8,"589,00","3878,3","629,22",609,"599,00",10
20-11-2023,8-9,"606,70","4542,4","635,10","1143,7",-,0
20-11-2023,9-10,"604,05","4582,5","607,76","1386,8","610,00",25
20-11-2023,10-11,"582,40","4857,1","551,20","1475,1","575,00",30
20-11-2023,11-12,"585,00","4814,6","564,49","1717,3","570,00",30
20-11-2023,12-13,"584,82",4900,"564,45","1700,6","570,00",30
20-11-2023,13-14,"600,00","5197,2","564,50","1580,5","585,00",55
20-11-2023,14-15,"600,00","5162,1","607,84","1455,1","610,00",25
20-11-2023,15-16,"632,40","5126,8","651,48","1131,9",-,0
20-11-2023,16-17,"660,00","5322,7","701,44","671,9",-,0
20-11-2023,17-18,"685,00","4947,7","646,50","608,8",-,0
20-11-2023,18-19,"685,00","4576,5","615,65","758,2",-,0
20-11-2023,19-20,"669,00","4411,1","586,31","1131,6","630,00",30
20-11-2023,20-21,"620,00","3954,1","532,39","1132,3",-,0
20-11-2023,21-22,"540,00","3469,3","470,63","940,2","535,00",50
20-11-2023,22-23,"495,00","4065,1","475,20","622,1",-,0
20-11-2023,23-24,"420,00","3656,2","429,67","754,5",-,0
